full_state,location_name,full_address,address,city,state,fstate,zipcode,point_of_contact,phone,email,type,specialization
NORTH DAKOTA,Bismarck MBDA Business Center,"3315 University Drive, Building #61, Bismarck, ND 58504",3315 University Drive,Bismarck,ND,North Dakota,58504,Brek Maxon,"701-255-3285, Ext. 1359",bmaxon@uttc.edu,MBDA Business Center,None
OHIO,Cleveland MBDA Business Center,"1240 Huron Road East, Suite 300, Cleveland, OH 44115",1240 Huron Road East,Cleveland,OH,Ohio,44115,Raland Hatchett,216-592-2253,rhatchett@clevelandmbdacenter.com,Specialty Center,Advanced Manufacturing
OKLAHOMA,Tulsa MBDA Business Center,"3 Memorial Place Center, 7615 East 63rd Place, Suite 201, Tulsa, OK 74133",3 Memorial Place Center,Tulsa,OK,Oklahoma,74133,James Ray,918-994-4370,jray@reoik.org,MBDA Business Center,None
PENNSYLVANIA,Philadelphia MBDA Business Center,"4548 Market Street, Philadelphia, PA 19139",4548 Market Street,Philadelphia,PA,Pennsylvania,19139,James Sanders,215-895-4046,jsanders@mbc-pa.com,MBDA Business Center,None
PUERTO RICO,Puerto Rico MBDA Business Center,"406 Capitan Espada Street, Urb. El Vedado, San Juan, PR 00918",406 Capitan Espada Street,San Juan,PR,Puerto Rico,00918,Teresa Berrios,787-753-8484,tberrios@puertoricombdacenter.com,Specialty Center,Aerospace Industry Supply Chain Mapping; Caribbean Exports
SOUTH CAROLINA,Columbia MBDA Business Center,"1515 Richland Street, Suite C, Columbia, SC 29201",1515 Richland Street,Columbia,SC,South Carolina,29201,Diane Sumpter,803-779-4825,dianes@columbiambdacenter.com,MBDA Business Center,None
TENNESSEE,Memphis MBDA Business Center,"158 Madison Avenue, Suite 101, Memphis, TN 38103",158 Madison Avenue,Memphis,TN,Tennessee,38103,Dino Hull,901-528-1432,dhull@mmbc-memphis.org,MBDA Business Center,None
TEXAS,Dallas MBDA Business Center,"8828 Stemmons Freeway, Suite 550, Dallas, TX 75247",8828 Stemmons Freeway,Dallas,TX,Texas,75247,Michael Mora,214-920-2436,mike@mbdadallas.com,MBDA Business Center,None
TEXAS,El Paso MBDA Business Center,"2401 East Missouri Avenue, El Paso, TX 79903",2401 East Missouri Avenue,El Paso,TX,Texas,79903,Terri Reed,915-351-6232,treed@elpasombdacenter.com,MBDA Business Center,None
TEXAS,Houston MBDA Business Center,"2302 Fannin Street, Suite 165, Houston, TX 77002",2302 Fannin Street,Houston,TX,Texas,77002,Roger Harris,713-718-8950,roger.harris@hcss.edu,MBDA Business Center,None
TEXAS,San Antonio MBDA Business Center,"501 West Cesar E. Chavez Boulevard, Suite 3.324B, San Antonio, TX 78207",501 West Cesar E. Chavez Boulevard,San Antonio,TX,Texas,78207,Orestes Hubbard,210-458-2480,orestes.hubbard@utsa.edu,Specialty Center,Exports to South America
WASHINGTON,Seattle MBDA Business Center,"1437 South Jackson Street, Suite 320, Seattle, WA 98144",1437 South Jackson Street,Seattle,WA,Washington,98144,Felix Ngoussos,"206-267-3131, Ext. 2",felixn@seattlembdacenter.com,MBDA Business Center,None
